Academic_year;Period;End_date;Measure_date;Measure_date_input;End_date_prev;Measure_date_prev
2009;0;2009-08-31;2009-09-21;2009-10-05;;
2009;1;2009-10-26;2009-11-16;2009-11-30;2009-08-31;2009-09-21
2009;2;2009-12-21;2010-01-11;2010-01-25;2009-10-26;2009-11-16
2009;3;2010-02-01;2010-02-22;2010-03-08;2009-12-21;2010-01-11
2009;4;2010-03-29;2010-04-19;2010-05-03;2010-02-01;2010-02-22
2009;5;2010-05-31;2010-06-21;2010-07-05;2010-03-29;2010-04-19
2009;6;2010-06-28;2010-07-19;2010-08-02;2010-05-31;2010-06-21
2009;7;2010-09-06;2010-09-27;2010-10-11;2010-06-28;2010-07-19
2009;;;;;2010-09-06;2010-09-27
2010;0;2010-09-06;2010-09-27;2010-10-11;;
2010;1;2010-11-01;2010-11-22;2010-12-06;2010-09-06;2010-09-27
2010;2;2010-12-27;2011-01-17;2011-01-31;2010-11-01;2010-11-22
2010;3;2011-01-31;2011-02-21;2011-03-07;2010-12-27;2011-01-17
2010;4;2011-03-28;2011-04-18;2011-05-02;2011-01-31;2011-02-21
2010;5;2011-05-30;2011-06-20;2011-07-04;2011-03-28;2011-04-18
2010;6;2011-07-04;2011-07-25;2011-08-08;2011-05-30;2011-06-20
2010;7;2011-09-05;2011-09-26;2011-10-10;2011-07-04;2011-07-25
2010;;;;;2011-09-05;2011-09-26
2011;0;2011-09-05;2011-09-26;2011-10-10;;
2011;1;2011-10-31;2011-11-21;2011-12-05;2011-09-05;2011-09-26
2011;2;2011-12-26;2012-01-16;2012-01-30;2011-10-31;2011-11-21
2011;3;2012-02-06;2012-02-27;2012-03-12;2011-12-26;2012-01-16
2011;4;2012-04-02;2012-04-23;2012-05-07;2012-02-06;2012-02-27
2011;5;2012-06-04;2012-06-25;2012-07-09;2012-04-02;2012-04-23
2011;6;2012-07-09;2012-07-30;2012-08-13;2012-06-04;2012-06-25
2011;7;2012-09-03;2012-09-24;2012-10-08;2012-07-09;2012-07-30
2011;;;;;2012-09-03;2012-09-24
2012;0;2012-09-03;2012-09-24;2012-10-08;;
2012;1;2012-10-29;2012-11-19;2012-12-03;2012-09-03;2012-09-24
2012;2;2012-12-24;2013-01-14;2013-01-28;2012-10-29;2012-11-19
2012;3;2013-02-04;2013-02-25;2013-03-11;2012-12-24;2013-01-14
2012;4;2013-04-01;2013-04-22;2013-05-06;2013-02-04;2013-02-25
2012;5;2013-06-03;2013-06-24;2013-07-08;2013-04-01;2013-04-22
2012;6;2013-07-01;2013-07-22;2013-08-05;2013-06-03;2013-06-24
2012;7;2013-09-02;2013-09-23;2013-10-07;2013-07-01;2013-07-22
2012;;;;;2013-09-02;2013-09-23
2013;0;2013-09-02;2013-09-23;2013-10-07;;
2013;1;2013-10-28;2013-11-18;2013-12-02;2013-09-02;2013-09-23
2013;2;2013-12-23;2014-01-13;2014-01-27;2013-10-28;2013-11-18
2013;3;2014-02-03;2014-02-24;2014-03-10;2013-12-23;2014-01-13
2013;4;2014-03-31;2014-04-21;2014-05-05;2014-02-03;2014-02-24
2013;5;2014-06-02;2014-06-23;2014-07-07;2014-03-31;2014-04-21
2013;6;2014-06-30;2014-07-21;2014-08-04;2014-06-02;2014-06-23
2013;7;2014-09-01;2014-09-22;2014-10-06;2014-06-30;2014-07-21
2013;;;;;2014-09-01;2014-09-22
2014;0;2014-09-01;2014-09-22;2014-10-06;;
2014;1;2014-10-27;2014-11-17;2014-12-01;2014-09-01;2014-09-22
2014;2;2014-12-22;2015-01-12;2015-01-26;2014-10-27;2014-11-17
2014;3;2015-02-02;2015-02-23;2015-03-09;2014-12-22;2015-01-12
2014;4;2015-03-30;2015-04-20;2015-05-04;2015-02-02;2015-02-23
